,date,month,year,region,treatment,site_number,Avg_OrgC_stock_Mg_per_ha
1,6/10/2021,6,2021,CB,CONTROL,CB19,11.83018375
2,6/10/2021,6,2021,CB,CONTROL,CBA,11.09730019
3,6/14/2019,6,2019,AB,SEAGRASS,SMAR01,13.59429981
4,6/24/2019,6,2019,DB,SEAGRASS,STCH01,11.61062935
5,6/24/2019,6,2019,DB,SEAGRASS,STCH02,10.6333007
6,6/24/2019,6,2019,DB,SEAGRASS,STCH04,10.60299297
7,6/25/2019,6,2019,DB,SEAGRASS,STCH05,14.9156006
8,6/25/2019,6,2019,DB,SEAGRASS,STCH06,13.05402419
9,6/3/2021,6,2021,CB,SEAGRASS,CB28,12.24644959
10,6/3/2021,6,2021,CB,SEAGRASS,CB30,17.80469377
11,6/5/2021,6,2021,CB,SEAGRASS,CB27,15.91234158
12,6/5/2021,6,2021,CB,SEAGRASS,CB29,11.93167457
13,6/8/2021,6,2021,CB,SEAGRASS,CB24-2,17.23549837
14,6/8/2021,6,2021,CB,SEAGRASS,CB25-2,15.31007945
15,6/8/2021,6,2021,CB,SEAGRASS,CB26,18.98862213
16,6/9/2021,6,2021,CB,CONTROL,CB18-2,17.65287137
17,6/9/2021,6,2021,CB,SEAGRASS,CB14,14.64253885
18,6/9/2021,6,2021,CB,SEAGRASS,CB21-2,10.41181781
19,7/10/2019,7,2019,SJB,SEAGRASS,SJB10,12.68948638
20,7/10/2019,7,2019,SJB,SEAGRASS,SJB17,12.26360329
21,7/11/2019,7,2019,SJB,CONTROL,SJBA,6.083146966
22,7/11/2019,7,2019,SJB,CONTROL,SJBB,4.296380246
23,7/25/2019,7,2019,SJB,SEAGRASS,SJB02,17.69059584
24,7/25/2019,7,2019,SJB,SEAGRASS,SJB24,15.47474418
25,7/30/2019,7,2019,DB,CONTROL,STCHA,8.731962673
26,7/30/2019,7,2019,DB,CONTROL,STCHB,6.588278433
27,7/30/2019,7,2019,DB,SEAGRASS,STCH12,18.075114
28,7/8/2019,7,2019,SJB,SEAGRASS,SJB13,7.606592702
29,7/8/2019,7,2019,SJB,SEAGRASS,SJB14,10.43869956
30,7/9/2019,7,2019,SJB,SEAGRASS,SJB06,13.45518685
31,7/9/2019,7,2019,SJB,SEAGRASS,SJB07,5.876309358
32,8/13/2019,8,2019,AB,SEAGRASS,SMAR03,17.41645401
33,8/13/2019,8,2019,AB,SEAGRASS,SMAR04,12.77210413
34,8/14/2019,8,2019,AB,SEAGRASS,SMAR12,16.40801089
35,8/14/2019,8,2019,AB,SEAGRASS,SMAR14,10.11436275
36,8/14/2019,8,2019,AB,SEAGRASS,SMAR25,15.2886289
37,8/16/2019,8,2019,AB,CONTROL,SMARA,7.193787607
38,8/16/2019,8,2019,AB,CONTROL,SMARB,16.46154891
39,8/20/2019,8,2019,AB,CONTROL,SMARC,10.28974122
40,8/20/2019,8,2019,AB,SEAGRASS,SMAR23,18.51519546
41,8/20/2019,8,2019,AB,SEAGRASS,SMAR24,13.41725256
42,8/30/2019,8,2019,SJB,CONTROL,SJBC,3.951337355
43,8/30/2019,8,2019,SJB,SEAGRASS,SJB16,6.389721473
44,8/8/2019,8,2019,DB,CONTROL,STCHC,16.96589477
45,8/8/2019,8,2019,DB,SEAGRASS,STCH20,21.26152337
46,8/8/2019,8,2019,DB,SEAGRASS,STCH21,17.14171958
